finetune/run_understanding.py:88: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(args.pretrained_model_path, map_location="cpu"); ms = model.state_dict(); filtered = {k: v for k, v in ckpt.items() if k in ms and v.shape == ms[k].shape}; print(f"  [Shape-aware load] {len(filtered)}/{len(ms)} params loaded, {len(ms)-len(filtered)} random-init"); model.load_state_dict(filtered, strict=False)
[2026-07-03 22:02:24,069 INFO] Batch size: 16
[2026-07-03 22:02:24,070 INFO] The number of training instances: 80000
[2026-07-03 22:02:24,643 INFO] Start training.
  [Shape-aware load] 17/24 params loaded, 7 random-init
  0%|          | 0/4 [00:00<?, ?it/s][2026-07-03 22:02:24,645 INFO] 4
[2026-07-03 22:13:59,495 INFO] Epoch id: 4, Training steps: 4400, Avg loss: 0.000
[2026-07-03 22:14:03,696 INFO] Epoch id: 4, Training steps: 4500, Avg loss: 0.000
[2026-07-03 22:14:07,126 INFO] Epoch id: 4, Training steps: 4600, Avg loss: 0.000
[2026-07-03 22:14:10,563 INFO] Epoch id: 4, Training steps: 4700, Avg loss: 0.000
[2026-07-03 22:14:14,789 INFO] Epoch id: 4, Training steps: 4800, Avg loss: 0.000
[2026-07-03 22:14:19,840 INFO] Epoch id: 4, Training steps: 4900, Avg loss: 0.000
[2026-07-03 22:14:24,022 INFO] Epoch id: 4, Training steps: 5000, Avg loss: 0.000
[2026-07-03 22:14:30,617 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
100%|██████████| 4/4 [12:05<00:00, 189.42s/it]100%|██████████| 4/4 [12:05<00:00, 181.49s/it]
[2026-07-03 22:14:30,623 INFO] Test set evaluation.
finetune/run_understanding.py:380: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  args.model.load_state_dict(torch.load(args.output_model_path))
[2026-07-03 22:14:37,707 INFO] Label 0: 1.000, 1.000, 1.000
[2026-07-03 22:14:37,708 INFO] Label 1: 1.000, 1.000, 1.000
[2026-07-03 22:14:37,708 INFO] Acc. (Correct/Total): 1.0000 (10000/10000) 
tensor([[5000,    0],
        [   0, 5000]])
